country,2017,2018,2019,2020,2021,2022,2023,2024
Brazil(BR),1.74,1.744,1.705,1.653,1.638,1.629,1.619,1.614
China(CN),1.795,1.539,1.496,1.236,1.117,1.034,0.999,1.013
France(FR),1.89,1.87,1.86,1.82,1.83,1.78,1.66,1.61
Germany(DE),1.57,1.57,1.54,1.53,1.58,1.455,1.39,1.36
India(IN),2.193,2.184,2.12,2.047,2.014,1.994,1.975,1.962
Japan(JP),1.43,1.42,1.36,1.33,1.3,1.26,1.2,1.15
"Korea, Rep.(KR)",1.052,0.977,0.918,0.837,0.808,0.778,0.721,0.748
Nigeria(NG),5.182,5.021,4.861,4.7,4.636,4.552,4.482,4.382
Sweden(SE),1.78,1.76,1.71,1.67,1.67,1.53,1.45,1.43
United Kingdom(GB),1.74,1.68,1.632,1.571,1.583,1.56,1.56,1.551
United States(US),1.766,1.73,1.706,1.642,1.664,1.657,1.617,1.627
